Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$112K-$133K (Glassdoor est.),"About Us:

Located in Allen, TX Cytracom is the leading SaaS provider of business voice services delivered through the IT channel and our mission is to make business communications simple!

As for the culture, we love going to work and think you should too! The team holds our company culture near and dear as it represents an intermix between passion for leadership and passion for an active, healthy life centered around family and friends. Cytracom represents community, collaboration, camaraderie and we are DOUBLING in size this year! It's a very exciting time here at Cytracom and we are focused on finding the best talent as we continue to grow!

Our Benefits:

• Medical, dental, and vision insurance is available
• 401K
• Disability insurance
• Paid vacations and holidays
• Flexible PTO policy
• Casual, laid-back work environment
• Free snacks

Here's a closer look at this key role:

The Data Scientist will use data-based insights to conceptualize, plan, and develop solutions to solve complex problems. In this role, you will be responsible for discovering information and identifying patterns within vast amounts of data and using that data to help our teams make smarter decisions. Your primary focus will be in applying data mining techniques, data visualization, doing statistical analysis, and building high-quality prediction systems.

Requirements:
2+ years of recent experience working as a data scientist.
Expertise in SQL (including but not limited to transforming data) and proficiency in another data programming language (Python, R, etc.)
Experience in creating experiments and analyzing results that drive key decisions
Proficiency in one or more analytics & visualization tools (e.g., Looker, Tableau, etc.)
Strong interpersonal skills and the ability to tailor communication such as analyses and interpretations to match the audience
We prefer someone who currently lives in the DFW metroplex
Responsibilities:
Maintain solid working relationships with all stakeholders, primarily the Executive Team.
Work with business experts to better understand goals and identify alternative approaches to extract insights from data.
Drive adoption of BI platform across organization
Present ideas/analyses/interpretations in a clear, concise manner tailored to audience
Maintain integrity, organization and consistency of data by coordinating with system administration to ensure accurate data input or collection and by managing ETL processes",5.0,"Cytracom
5.0","Allen, TX","Allen, TX",1 to 50 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"RingCentral, Nextiva, 8x8"
Data Scientist,$112K-$133K (Glassdoor est.),"Entefy’s Senior Data Scientist is a highly visible position both internally and externally. Join the intelligence revolution, where we can push the state-of-the-art boundaries of data science. This is where deep experience and multi-dimensional insights intersect with an amazing opportunity to shape the future of productivity for people everywhere.

Skills and Experience:

We’re not looking for “good.” Entefy is on a mission to find exceptional talent. The success of our mission depends on our team’s ability to be creatively analytical, insatiably curious, and absolutely fearless in tackling big challenges.
Requirements
Master's degree in Computer Science, Mathematics, Statistics, Engineering, or a compatible field. PhD is preferred.
3+ years of applicable work experience.
Demonstrable proficiency in Python, Scala, SQL, or R.
Strong data visualization and reporting skills.
Proven track record delivering high-value, advanced analytics.
Experience leading the work of other data scientists or analysts is preferred.
World-class ability to extract and communicate insights from real-world datasets.
Startup agility and versatility.
Visit www.entefy.com and www.blog.entefy.com.",4.3,"Entefy
4.3","Palo Alto, CA","Palo Alto, CA",1 to 50 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Data Analyst,$112K-$133K (Glassdoor est.),"Breckenridge Grand Vacations (BGV) is seeking qualified analysts who will help grow our highly cross-functional analytics department. The Data Analyst is responsible for quantitative& qualitative analysis, reporting, and data mining across all of BGV’s finance, marketing, operations, and sales divisions. At its highest level, this position identifies the business’ analytical needs, collaborates with the analytics team& business intelligence, develops thoughtful analyses, and effectively communicates findings and recommendations to key decision makers including executive leadership. BGV Analysts are highly detail oriented, proactive self-starters, team players, capable of multi-tasking, and can analyze large amounts of data with creativity and innovation in mind. Please visit www.BGVjobs.com to apply!

Data Analyst Essential Duties and Responsibilities(including but not limited to):
Understand and facilitate the integration of various business processes, people, software, data, and relevant technology to identify, configure, and communicate meaningful information that supports and drives decision making across all divisions of the company.
Leverage Tableau, MS Excel, and other BI tools for analysis, reporting, data visualization, self-service support, across disparate systems. Analysts must stay abreast of changes and improvements within the software to maximize value.
Provide pertinent information to BGV managers and executives by assembling and summarizing data, developing thorough analyses, preparing reports, identifying business solutions, making presentations of findings, and recommending courses of action.
Build and maintain analytical models, dashboards, reports, and templates to drive awareness and understanding of key performance indicators while ensuring quality, accuracy, and a focused analytic review.
Utilize data analysis skills to perform full lifecycle analytics including gathering requirements, design and development of analytic data sets, data mining, data quality assessment, data profiling, analytical infrastructure maintenance, and predictive analytics support.
Convert business expectations into data analysis while recognizing the audience and effectively communicating complexities at an executive level.
Analytics Team Cross-Functional Focuses(including but not limited to):

Financial Analysis and Reporting:
Pro forma financial statements; revenue/expense budget development and variance tracking; profit/cost efficiencies; resort financing& hypothecation; accounts receivable management; tax reporting; prospective resort development
Marketing Analysis and Reporting:
Campaign strategy and segmentation; program, CRM, website, lead generation, and call center performance; property tour conversion; tour budgeting; tour show-rate tracking; no show predictions; product affinity; customer list building& targeting
Operations Analysis and Reporting:
Resort occupancy, owner usage, exchange usage, rental inventory and revenue management, average daily rates, guest outreach, owner support, reservation& contact center, vacation rentals, resort operations department performance, guest surveys
Sales Analysis and Reporting:
Sales volume forecasting; inventory control; pricing& commission management; agent performance; tour prospect ranking; tour scheduling enhancements; Volume Per Guest (VPG) budgeting; sales management and administrative initiatives
Required Experience:
2– 5 years of related professional experience developing analytics and working with data in an organization
Bachelor’s degree in Analytics, Finance, Economics, Marketing, Mathematics, Statistics, Real Estate or other related field
MBA/Masters, concentrations, certifications, or specializations in related field a plus
Qualifications:
Advanced abilities in Tableau and MS Excel (other data visualization and BI tools ok but Tableau is preferred)
Experience and knowledge of various statistical programming languages (Python, R, MATLAB)
Proficiency in reading and writing code/queries in SQL and Visual Basic (VBA)
Must be highly detail oriented with strong organizational skills and can multi-task
Possesses excellent interpersonal skills, is a team player, and is an enthusiastic learner& self-starter
Motivated by growth opportunities, looking for the ability to make an impact, appreciates work-life balance, and has an entrepreneurial spirit
Benefit Summary:
Robust Medical, dental, and vision insurance plans and employer match 401(k) plan
Paid holiday time-off and paid volunteer time-off
Recreation and ski pass programs
Tickets to Rockies, Avalanche and Nuggets games, Pepsi Center concerts and events
Discounts on lodging, retail, restaurants, and activities
Employee housing(subject to availability)
About Breckenridge Grand Vacations:

BGV was formed in 1984, serving as the developer, owner, and operator of four Breckenridge Resorts: Gold Point Resort, Grand Timber Lodge, the Grand Lodge on Peak 7 and our newest resort, the Grand Colorado on Peak 8. Winner of the ACE Philanthropic Award in 2016 from the American Resort Development Association (ARDA), Denver Post’s 2018 Top Large Workplace: 1st Place, and winner of the ACE Project of Excellence (Grand Colorado on Peak 8) in 2020 from the American Resort Development Association (ARDA) as the best resort in the world for the year. Breckenridge Grand Vacations is widely recognized as one of the most successful independent developers in the industry.

Here at Breckenridge Grand Vacations, we pride ourselves on always creating Grand vacations for families and friends alike. Our purpose statement sets the stage for impacting the lives not only of our owners and guests, but our employees and our community:The Soul of BGV is creating smiles!",4.6,"Breckenridge Grand Vacations
4.6","Breckenridge, CO","Breckenridge, CO",501 to 1000 employees,1984,Company - Private,"Hotels, Motels, & Resorts",Travel & Tourism,$10 to $25 million (USD),-1
Data & Analytics Consultant,$112K-$133K (Glassdoor est.),"WHO WE LOOK FOR

An SEI Consultant is a master communicator and active listener who understands how to navigate an audience. Self-aware, almost to a fault, SEI consultants keenly understand how to adjust their approach based on the situation. Following a logical, fact-based approach, our consultants possess the superior ability to see correlations others may not, ask the right questions and drive solutions.

As super-connectors, our consultants connect not only people, but data, trends and experiences. Mature, humble, and genuine, SEI Consultants frequently go above and beyond for both their clients and their colleagues. SEI Consultants are ethical and trustworthy individuals who do what they say. SEI Consultants have an insatiable curiosity and love to learn. These individuals are commonly tech savvy and early adopters. Their passion for learning is infectious and excites others.

As every project is different, an SEI Consultant must be adaptable and comfortable with unexpected situations. An SEI Consultant must be at ease with ambiguity because although a client knows that a problem exists – they need SEI to figure it out and drive a solution. SEI Consultants define ambition differently. SEI Consultants are authentic, low-maintenance individuals who like to hang out with colleagues outside of work. Whether it be cooking, traveling, hiking, or volunteering, SEI Consultants enjoy working with genuine, thoughtful folks who want to steer clear of the traditional grind and share the joy of day-to-day life and activities with colleagues, friends and family.

WHAT WE DO

Our consultants work with clients at all levels of the organization, from the C-suite to the shop floor, helping them to deliver on their most strategic initiatives. We’re known for making realistic, data-driven decisions that deliver value in tangible ways to our clients. Our clients ask for us on projects that require a superior combination of technical and business capabilities, people and management skills, and a collaborative mindset. We excel in understanding complex programs and strategic initiatives and breaking them into actionable pieces.

We are actively looking for professionals in the following areas:
Data Strategy and Governance
Database Architecture and Development
Data Analysis
Reporting and Data Visualization
The ideal candidate will:
Have experience understanding and solving real business problems
Solid writing and speaking skills to support data storytelling
Ideal candidates may call themselves Data Engineers, Data Scientists and Analysts and Data Governance professionals. Experience may include but is not limited to the following:
Experience with statistical and mathematical modeling, artificial intelligence and machine learning software and methods
Specialization in architecting enterprise solutions with visualizations and data-discovery tools such as Tableau, QlikView, Spotfire, Amazon Web Services, Cloud, Salesforce
Technical capabilities that include designing scalable data architectures, solution performance tuning, and hardware sizing
Experience and knowledge of programming and scripting languages, such as , Python, Java, C#, PL/SQL, R and SAS
Experience and knowledge of relational and dimensional database structures, theories, principles, and practice used in data warehousing and analytics solutions
Experience managing, populating, and querying database technologies including RDBMS, NOSQL, and big data platforms and experience working with these technologies' ecosystems
QUALIFICATIONS

Required
Demonstrated business and technology acumen
Proven track record of delivering results
Experience working with and/or leading a team
Ability to work independently
Ability to work across industries, roles, functions & technologies
Positive can-do attitude
A curiosity for new technology
Authorization for permanent employment in the United States (this position is not eligible for immigration sponsorship)
Preferred
Bachelor’s degree (Mathematics, Computer Science, or related field preferred)
8+ years professional experience
Consulting experience
Experience across our service offerings",4.6,"SEI
4.6","Atlanta, GA","Cincinnati, OH",201 to 500 employees,1992,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1
Data Analyst,$112K-$133K (Glassdoor est.),"At Make-A-Wish® America, we are more than a great place to work — our work is life-changing. Together, we create life-changing wishes for children with critical illnesses. Nearly 40 years ago the inspiration for Make-A-Wish began with one little boy's wish to be a police officer. Today, together with our volunteers, donors, staff and supporters, Make-A-Wish has granted more than 300,000 life-changing wishes and transformed countless lives.

THE TEAM

Make-A-Wish America is the national headquarters for our organization, providing resources and support for our 60 Chapters around the country. The Information Technology team is comprised of a diverse team of technologists responsible for building and operating the technologies that enable Make-A-Wish to grant the wish of every eligible child. The Information Technology team is focused on providing innovative solutions across these key areas: Operations, Security, Applications, Infrastructure, Governance, and Analytics.

THE ROLE

The Data Analyst role is a key contributor to our mission by supporting data governance initiatives to ensure data quality and enable greater insights from internal and external information.

WHERE YOU COME IN

As a Data Analyst at Make-A-Wish America you will:
Support the planning, preparation, translation, and execution of data flows and migrations between enterprise platforms.
Evaluate enterprise data and identify opportunities to improve data through governance.
Develop data integrity checks and leads remediation efforts with stakeholders.
Evaluate requirements for data gathered from multiple sources, reconcile conflicts, and build translation models for the Enterprise Data Warehouse.
Partner with stakeholders and subject matter experts to support ongoing documentation and maintenance of data standards within the enterprise knowledgebase.
Partner with stakeholders to identify and implement data enrichment throughout the enterprise.
Evaluate enterprise data to identify emerging trends.
WHAT YOU’LL NEED
Bachelor’s degree in Business, Computer Information Systems, Finance, Industrial Engineering or related field
2+ years relevant experience as a Data Analyst
Ability to write and interpret SQL-based queries
Familiarity with translation tools, Master Data Services
Experience with Power BI
Ability to be to be successful and adapt in a matrix organization
Growth mindset, inspired to innovate and solution
Strong organizational skills to handle multiple projects and deadlines


WHAT WE OFFER
Competitive compensation with annual incentive potential
Comprehensive benefit package: Medical, Vision, Dental, Wellness*
Health and Flexible Spending Account Options
Short Term Disability, Long Term Disability and Life Insurance*
401(k) Retirement Savings Plan
15 PTO days, 10 Sick Days, 10 Paid Holidays, and 2 Personal Days
Maternity Leave
Educational Tuition Assistance
Employee Awards and Recognition Programs
Individual and Leadership Development
Discounts and special offers for theme parks, events, hotels, concerts, and movie tickets
*Make-A-Wish America pays the monthly premiums for employees participating in the HSA qualified healthcare, vision, dental, and short/long term disability plans.

We are more than a great place to work - our work is life changing. We are an inclusive and diverse group of people who, through a mosaic of backgrounds, thoughts, and experiences are united in purposeful work. We are fueled and guided by our values - values that are represented in the inspired people we work with and the transformational work we do every day.

We respect and ensure equal opportunity, regardless of race, religion, ethnicity, national origin, age, gender identity, sexual orientation, disability, perceived disability and other legally protected characteristics.

Required Skills

Required Experience

Job Location
Remote,",3.6,"Make-A-Wish Foundation of America
3.6","Phoenix, AZ","Phoenix, AZ",1001 to 5000 employees,1980,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),-1
Market Data Analyst,$112K-$133K (Glassdoor est.),"A bit about us:

We’re on a mission to change healthcare — how it’s paid for, delivered, experienced. We want to put people center stage, not process or profit. We are guided by a deep belief that every person on Medicare should be treated like we would treat a member of our own family: with loving care and a profound commitment to their health and well-being.

That’s why we’re gathering a whole bunch of smart, big-hearted people to create a new kind of healthcare company — one that combines compassion, health insurance, clinical care, and technology seamlessly.

We want to throw the long ball with people we love for a cause we believe in. Life is short. Join us.


A bit about this role:

This newly created role will be responsible for data analysis to support the market provider performance teams across all markets. The candidate will need to have experience with Risk Medicare Advantage (MA) financials, understand contract parameters, and be able to dive deep into claims research. This position will work closely with the market team (sales & network) and tech/data team to drive insights. This role will report to our Lead Market President and will be an integral part of our go to market team.
Responsibilities will include:
Produce monthly risk provider (one for each) reporting package for network team to review and deliver
Participate in Joint Operating Committees and other provider meetings
Act as point person to take lead on reconciling provider data mismatches (provider claims we are wrong)
Deep dive into suspect (incorrectly paid) claims affecting risk providers such as Incentive Care/Gessler Baycare high cost claims
Deep dive into troubled risk providers’ financials to identify areas of improvement
Attributes to success:
You are a Doer. You love being hands-on; getting into the weeds, doing the research, and utilizing best practices to improve processes
You are collaborative, driven, resourceful, and you enjoy working at the intersection of Finance and Technology
You possess excellent communication skills, including ability to clearly articulate needs, objectives, priorities, and strategy
You are skilled at interpreting and distilling information from one source, and translating that information into sensical terms for another source
You have a passion for improving U.S. healthcare, and a desire to continue to build your knowledge base within the vertical
Desired skills and experience:
7+ years’ experience, with 5+ years in a payor-based analytical role
Ability to navigate ambiguity, and work within a fast-paced startup environment
You have experience in risk, provider financials, and insurance
You have deep knowledge of Medicare Advantage and Medicare HMO
You have a track record of success collaborating with Tech partners
Experience with SQL (basic skills)
If you love running towards complex challenges and transforming them into solutions, if you want to make a potentially huge impact on many lives, and if you are looking for a disruptive startup with an inspiring and talented team, Devoted Health may be the place for you!

Devoted is an equal opportunity employer. We are committed to a safe and supportive work environment in which all employees have the opportunity to participate and contribute to the success of the business. We value diversity and collaboration. Individuals are respected for their skills, experience, and unique perspectives. This commitment is embodied in Devoted’s Code of Conduct, our company values and the way we do business.

As an Equal Opportunity Employer, the Company does not discriminate on the basis of race, color, religion, sex, pregnancy status, marital status, national origin, disability, age, sexual orientation, veteran status, genetic information, gender identity, gender expression, or any other factor prohibited by law. Our management team is dedicated to this policy with respect to recruitment, hiring, placement, promotion, transfer, training, compensation, benefits, employee activities and general treatment during employment.",4.3,"Devoted Health
4.3","Houston, TX","Waltham, MA",201 to 500 employees,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1
Senior Data Scientist,$112K-$133K (Glassdoor est.),"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Senior Data Scientist, you will serve as a technical and thought leader on this diverse and highly skilled team. You will design and develop inventive solutions to drive innovation and delivery of organizational value. You’ll synthesize large datasets and solve complex problems through the use of advanced machine learning and statistical modeling. You’ll work in a highly collaborative, team environment, guiding and mentoring junior data scientists and collaborating with multiple stakeholders. You will assist management in the communication of insights and the implementation of impactful data science solutions across the organization.

Expected Qualifications:

Advanced degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc.
4 years of experience in designing, developing, evaluating, and deploying predictive modeling, machine learning, advanced analytics
Deep understanding and experience with advanced statistics and modern machine learning predictive techniques, including GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, and graph analytics.
Superior coding skills using common data science tools, including Python (strongly preferred), R, Linux/Unix command line and shell scripting.
Excellent skill and significant experience in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Strong experience with distributed storage and big data computing technology, such as AWS, Hadoop, or Spark
Excellent communication skills and experience in working with stakeholders
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes
Note: The safety of our associates, both current and future, is GEICO’s highest priority. At this time, most of our associates are working remotely due to the current COVID-19 pandemic. Candidates who are selected for this position will be trained remotely and must be able to work from home in a designated work area. Once GEICO determines it is safe for associates to return to the office, candidates may be required to work in our Chevy Chase, MD office.

About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.

#LI-JW1

#DI-JW",3.3,"GEICO
3.3","Chevy Chase, MD","Washington, DC",10000+ employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),-1
Data Scientist,$112K-$133K (Glassdoor est.),"As a Data Scientist, you will have the unique opportunity to work on a program developing target models and advancing state-of-the-art modeling and prediction capabilities. This program will develop and train machine learning models to detect and discern features in scenes and develop an adversarial patch framework to defeat the trained classifiers.
Our delivery teams are driven to explore new ideas and technology, and care deeply about collaboration, feedback, and iteration. We follow SAFe agile practices, embrace the Ops ethos(DataOps/DevSecOps/MLOps) to “automate-first”, use modern tech stacks, and constantly challenge each other to grow and improve.
If cutting edge data science projects resonate with you and you care deeply about joining a mission-driven company with a strong growth direction and diverse culture, we'd love to learn more about you. Check out the details below, and let’s connect.

Technical members of our solutions teams require little guidance, but love to learn, collaborate, and problem solve. This position requires a mid to senior level of experience, a passion for mission support, and a strong desire to solve our customers’ hardest technical and data challenges.
The Data Scientist will be responsible for the following:
Develop, train and evaluate Machine Learning models
Develop strategies for data augmentation and synthetic data
Utilize models to detect and classify targets within scenes
Develop adversarial attacks to defeat trained classifiers

Requirements:
TS/SCI clearance required
5+ years of related experience
Experience with deep learning frameworks such as PyTorch, Tensorflow or MXNet
Prior experience with the Intelligence Community and methodological experience in some of the following areas
Relationships and discovery (correlating, enriching, and prioritizing target data)
Situational awareness (unifying data into a single context, allowing the current situation to be accurately and quickly understood)
Systems modeling (building a computational analog of real-world-system to understand how it operates, what it is capable of, and how it can be fooled)
We're looking for a motivated Data Scientist eager to advance not only your professional career, but also the missions of our Intelligence and Defense communities. At NT Concepts, you'll be able to:
Meaningfully impact the company's growth, and share in the rewards accordingly
Develop your own career path through our What’s Next program, which emphasizes personal growth through training and certification
Work on programs of importance that directly impact National Security and the world
Work in a fun, “challenging yet rewarding” fast-paced environment
#CJ",3.3,"NT Concepts
3.3","Chantilly, VA","Vienna, VA",501 to 1000 employees,1998,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Machine Learning Engineer,$112K-$133K (Glassdoor est.),"CircleUp harnesses the power of machine learning and predictive analytics to discover some of the fastest-growing companies in the consumer & retail sector. We are building a predictive data system called ""Helio"" to bring the data-driven revolution that has occurred in the public markets to the private markets, starting with consumer & retail.

We are working on challenging problems in information retrieval, entity resolution, and developing an in-depth knowledge graph of all private companies. We are mining vast amounts of data to successfully rewrite the rules on how private companies are evaluated.

With a background in both software development and machine learning, you will collaborate with software engineers, data scientists, PMs, and domain experts in consumer investing to develop & ship predictive data products in support of CircleUp's mission - helping entrepreneurs thrive by connecting them with the capital & resources they need.

You are a passionate software engineer who is comfortable working across the full stack & lifecycle of predictive data products - prototyping, feature engineering, validation, and productionalization.

Responsibilities:
Collect and refine structured and unstructured data on private companies
Build out our entity resolution platform that can identify references to companies, brands and products in highly unstructured digital documents and link them back to real world entities
Build scalable production systems for data collection, data transformation, feature extraction, model training, and scoring, using distributed software tools
Build end to end algorithms for objectively measuring the quality of private consumer companies
Contribute to all phases of algorithm development including ideation, prototyping, design and production
We're looking for teammates who have:
Bachelor's degree or higher in Computer Science, Information retrieval, Natural Language processing, Math, Statistics or related technical field
2+ years of experience in machine learning, NLP and/or information retrieval
Broad knowledge of machine learning APIs, tools, and open source libraries
Excellent coding skills and strong fundamentals in algorithms, data structures, predictive modeling and big data concepts
Experience putting models into production systems is a huge plus
If you got to this point, we hope you’re feeling excited about the job description you just read! Even if you feel that you don't meet all of the requirements and qualifications, we still encourage you to apply. We’re eager to speak with those who share our passion to help entrepreneurs thrive - not just those who match every bullet point in our job descriptions.

CircleUp is an equal opportunity employer. We do not discriminate based upon race, religious creed, color, national origin, ancestry, physical or mental disability, medical condition, genetic information, marital status (including registered domestic partnership status), sex and gender (including pregnancy, childbirth, lactation and related medical conditions), gender identity and gender expression (including transgender individuals who are transitioning, have transitioned, or are perceived to be transitioning to the gender with which they identify), age, sexual orientation, Civil Air Patrol status, military and veteran status and any other consideration protected by federal, state or local law. We encourage those who really want to make an impact to apply for our open positions.",4.5,"CircleUp
4.5","San Francisco, CA","San Francisco, CA",51 to 200 employees,2012,Company - Private,Venture Capital & Private Equity,Finance,Unknown / Non-Applicable,-1
Data Engineer,$112K-$133K (Glassdoor est.),"U.S. citizenship is required for this position due to Department of Defense restrictions.

Role Summary:
Data Engineers design, develop, implement, and support platforms providing secured access to large datasets. This position works with business and technology teams to understand data sources and transform data using best practices in data modeling, ETL processes, SQL, MarkLogic, XQuery/JQuery and analytical, cognitive technologies into actionable business information.

In this role you will:
Improve/maintain/create various data loading/data cleaning packages to ensure data integrity and speed.
Work with engineering, data science and product management teams to build and manage a wide variety of data sets.
Build and support tools and services for the management and productization of our data.
Build and curate data models, along with connected ingestion and harmonization scripts.
Work with BI and Data Architects to build application extensions adherent to standards.
Author analytics tools for business partners and data scientists to support operational optimization and product innovation.
Work closely with Product and Executive leadership to identify and prioritize backlog items to support data infrastructure demands.
Author and extend modular, re-usable data pipeline tools that connect disparate source systems into canonical formats.
Extract, transform and load data using SQL and NoSQL technologies.
Champion SDLC processes and improvements by building and supporting an automated DevOps landscape.
Utilize test-driven development to achieve comprehensive quality coverage.

This role could be a good fit if you:
Are an innovative, forward-thinking, and self-motivated individual with a strong work ethic and the ability to thrive in a fast-paced environment.
Are driven individual with strong written and verbal communication skills, excellent analytical / problem solving abilities.
Have strong technical aptitude and customer service skills with an eagerness to learn business processes and needs.
Have the ability to execute day-to-day responsibilities with strong attention to detail, quality, and thorough follow-through with stakeholders.
Have the ability to work both independently and in conjunction with clients, management, peers, and project resources.
Demonstrate the ability to effectively communicate in technical and non-technical terms, at all levels, both within and outside the organization.
Are able to design, architect, and maintain a data warehouse that supports a rapidly changing product with our analytics and data service teams.

You’ll benefit from this experience by:
Developing new processes and procedures to enhance data engineering practices.
Evaluating new industry data engineering technologies and practices.
Working within a focused, energetic, and agile organization
Taking a data leadership role on highly complex projects and provide guidance to less experienced staff.
Ensuring completeness of all development artifacts, including technical business requirements, technical design, completed code, and implementation.
Training and assisting business users or clients in creating critical data access points
Working in an environment that serves our Nation’s military, veterans, Guard and Reserves along with their families.

You need to have:
U.S. citizenship is required for this position due to Department of Defense restrictions.
Bachelor's Degree in related field or equivalent post high school and/or related work experience

We also prefer:
Development experience working with third party data ingestion.
Experience working within existing frameworks as well as building brand new applications.
Experience building ETL data pipelines in a programming language like Python or Scala.
Experience with Data Harmonization.
Experience designing, building, and maintaining a data warehouse that seamlessly stitches together data from production databases and external APIs to serve consumers
Excellent ability to understand the needs of and collaborate with stakeholders in other functions, especially analytics teams.
Strong data modelling skills with solid knowledge of various industry standards such as dimensional modelling, star schemas etc.
Proficiency in writing performant SQL to work with large data volumes.
Experience designing and operating very large Data Warehouses.
Experience working with SQL for data exploration, debugging, and performant data access.
Experience with developing dashboards and reports on data from sales, call center, and custom software applications.
Experience with designing and implementing canonical models.
Experience with leveraging MarkLogic search APIs to build RESTful services.
Any automated code/data deployments to MarkLogic.
Data hub framework (DHF) experience.

Your team:
The Data Platform Modernization team exists to break down barriers between our employees and the data that connects us to our mission. As a part of the Emerging Technology and Innovation group, you will be dedicated to developing and scaling proven disruptive technologies into WPS architecture to drive digital maturity in alignment with SSG’s core mission as the “agent of change”.

People: Provide a democratized data platform to empower our people to dig into their data quickly and resolve claims processing issues.
Profitability: Design a flexible data platform so time can be spent on value added work instead of expensive data munging overhead
Competitiveness: Minimize time to Insight with fast data pipelines and processing to produce results faster than any competing claims handling service.
Execution: Make the data platform understandable so customer can find quality issues and improve our execution.

Compensation and Benefits

Eligible for annual Performance Bonus Program
401(k) with dollar-per-dollar match up to 6% of salary
Competitive paid time off
Health and dental insurance start DAY 1
Vision insurance
Flexible spending, dependent care, and health savings accounts
Short- and long-term disability, group life insurance
Dress for your day
Innovative professional and cognitive development programs

Who We Are

WPS Health Solutions is an innovator in health insurance and a worldwide leader in claims administration, serving millions of beneficiaries in the United States and abroad.

Founded in 1946, WPS offers health insurance plans for individuals, families, and seniors, and group plans for small and large businesses. We are a world-class claims processor and program administrator for the government’s Medicare program. And we manage benefits for millions of active-duty and retired military personnel and their families.

WPS has been named one of the World's Most Ethical Companies® by the Ethisphere® Institute for 10 years in a row.

Learn more about WPS.

Our Purpose and Values

Our purpose is to make healthcare easier for those we serve. Click Here

Our values – Customer Focused, Individual Responsibility, Mutual Respect, and Driven & Passionate – are the core of who we are and how we conduct business every day.

Health Insurance

WPS Health Insurance offers high-quality health insurance plans for individuals and families, Medicare supplement plans for seniors, and group health plans for businesses of every size.

http://wpshealthsolutions.com/business-units/wpshi.shtml

Military and Veterans Health

WPS Military and Veterans Health administers claims and provides customer service and related activities for the U.S. Department of Defense and the U.S. Department of Veterans Affairs and their beneficiaries.

http://wpshealthsolutions.com/business-units/wpsmvh.shtml

Government Health Administrators

WPS Government Health Administrators manages Medicare Part A and Part B benefits for more than 7 million beneficiaries. As one of the largest contractors for the Centers for Medicare & Medicare Services, we’ve served Medicare beneficiaries and their health care providers since 1966.

http://wpshealthsolutions.com/business-units/wpsgha.shtml

Arise

Arise Health Plan provides innovative and high-value health plans to groups and individuals in eastern and northeastern Wisconsin. With our quality Wisconsin-based customer service, Arise offers health care expertise with a personal touch.

http://wpshealthsolutions.com/business-units/arise.shtml

EPIC Specialty Benefits

EPIC Specialty Benefits provides businesses group insurance products that cover:

Life
Disability
Dental
Vision
Voluntary benefits

http://wpshealthsolutions.com/business-units/epicsb.shtml

Stay connected: Sign-up for Job Alerts

FOLLOW US!

Facebook

Twitter

LinkedIn",3.0,"WPS Health Solutions
3.0","Madison, WI","Monona, WI",1001 to 5000 employees,1946,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),-1
